"filename", "language", "Python", "Markdown", "HTML", "CSS", "SVG", "JavaScript", "OpenXml", "comment", "blank", "total"
"d:\Projects\pharmify\README.md", "Markdown", 0, 18, 0, 0, 0, 0, 0, 0, 13, 31
"d:\Projects\pharmify\design\Plan - Pharmify - Dinesh.docx", "OpenXml", 0, 0, 0, 0, 0, 0, 111, 0, 1, 112
"d:\Projects\pharmify\design\Plan - Pharmify.docx", "OpenXml", 0, 0, 0, 0, 0, 0, 264, 0, 2, 266
"d:\Projects\pharmify\manage.py", "Python", 17, 0, 0, 0, 0, 0, 0, 1, 5, 23
"d:\Projects\pharmify\pharmify\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Projects\pharmify\pharmify\asgi.py", "Python", 10, 0, 0, 0, 0, 0, 0, 0, 7, 17
"d:\Projects\pharmify\pharmify\settings.py", "Python", 89, 0, 0, 0, 0, 0, 0, 21, 40, 150
"d:\Projects\pharmify\pharmify\urls.py", "Python", 24, 0, 0, 0, 0, 0, 0, 0, 4, 28
"d:\Projects\pharmify\pharmify\views.py", "Python", 8, 0, 0, 0, 0, 0, 0, 0, 3, 11
"d:\Projects\pharmify\pharmify\wsgi.py", "Python", 10, 0, 0, 0, 0, 0, 0, 0, 7, 17
"d:\Projects\pharmify\product\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Projects\pharmify\product\admin.py", "Python", 4, 0, 0, 0, 0, 0, 0, 1, 1, 6
"d:\Projects\pharmify\product\apps.py", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 3, 7
"d:\Projects\pharmify\product\migrations\0001_initial.py", "Python", 25, 0, 0, 0, 0, 0, 0, 1, 7, 33
"d:\Projects\pharmify\product\migrations\0002_rename_dosage_form_product_product_type.py", "Python", 12, 0, 0, 0, 0, 0, 0, 1, 6, 19
"d:\Projects\pharmify\product\migrations\0003_seller_product_seller.py", "Python", 21, 0, 0, 0, 0, 0, 0, 1, 6, 28
"d:\Projects\pharmify\product\migrations\0004_alter_product_seller.py", "Python", 13, 0, 0, 0, 0, 0, 0, 1, 6, 20
"d:\Projects\pharmify\product\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Projects\pharmify\product\models.py", "Python", 22, 0, 0, 0, 0, 0, 0, 1, 7, 30
"d:\Projects\pharmify\product\templates\stock\new.html", "HTML", 0, 0, 164, 0, 0, 0, 0, 31, 38, 233
"d:\Projects\pharmify\product\templates\stock\save.html", "HTML", 0, 0, 10, 0, 0, 0, 0, 1, 3, 14
"d:\Projects\pharmify\product\templates\stock\summary.html", "HTML", 0, 0, 67, 0, 0, 0, 0, 19, 20, 106
"d:\Projects\pharmify\product\tests.py", "Python", 1, 0, 0, 0, 0, 0, 0, 1, 2, 4
"d:\Projects\pharmify\product\urls.py", "Python", 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"d:\Projects\pharmify\product\views.py", "Python", 61, 0, 0, 0, 0, 0, 0, 1, 18, 80
"d:\Projects\pharmify\static\assets\components\spinner.svg", "SVG", 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"d:\Projects\pharmify\static\assets\dot-accent.svg", "SVG", 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"d:\Projects\pharmify\static\assets\dot-black.svg", "SVG", 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"d:\Projects\pharmify\static\assets\dot-grey.svg", "SVG", 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"d:\Projects\pharmify\static\assets\dot-primary.svg", "SVG", 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"d:\Projects\pharmify\static\assets\dot.svg", "SVG", 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"d:\Projects\pharmify\static\assets\icon-sprite.svg", "SVG", 0, 0, 0, 0, 273, 0, 0, 61, 48, 382
"d:\Projects\pharmify\static\assets\illus\email-sent.svg", "SVG", 0, 0, 0, 0, 70, 0, 0, 0, 1, 71
"d:\Projects\pharmify\static\assets\illus\flag-india.svg", "SVG", 0, 0, 0, 0, 22, 0, 0, 0, 0, 22
"d:\Projects\pharmify\static\assets\illus\login-bg.svg", "SVG", 0, 0, 0, 0, 122, 0, 0, 0, 1, 123
"d:\Projects\pharmify\static\assets\illus\password-reset-success.svg", "SVG", 0, 0, 0, 0, 83, 0, 0, 0, 1, 84
"d:\Projects\pharmify\static\assets\illus\signup-bg.svg", "SVG", 0, 0, 0, 0, 221, 0, 0, 0, 1, 222
"d:\Projects\pharmify\static\assets\illus\spinner.svg", "SVG", 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"d:\Projects\pharmify\static\assets\logo\app-icon.svg", "SVG", 0, 0, 0, 0, 10, 0, 0, 0, 1, 11
"d:\Projects\pharmify\static\assets\logo\favicon.svg", "SVG", 0, 0, 0, 0, 10, 0, 0, 0, 1, 11
"d:\Projects\pharmify\static\assets\logo\logo-black.svg", "SVG", 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"d:\Projects\pharmify\static\assets\logo\logo-outlined.svg", "SVG", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\Projects\pharmify\static\assets\logo\logo-white.svg", "SVG", 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"d:\Projects\pharmify\static\assets\logo\logo.svg", "SVG", 0, 0, 0, 0, 29, 0, 0, 0, 1, 30
"d:\Projects\pharmify\static\script\main.js", "JavaScript", 0, 0, 0, 0, 0, 194, 0, 43, 54, 291
"d:\Projects\pharmify\static\script\stock-new.js", "JavaScript", 0, 0, 0, 0, 0, 381, 0, 37, 67, 485
"d:\Projects\pharmify\static\script\stock-summary.js", "JavaScript", 0, 0, 0, 0, 0, 179, 0, 19, 28, 226
"d:\Projects\pharmify\static\script\utils\components.js", "JavaScript", 0, 0, 0, 0, 0, 154, 0, 30, 37, 221
"d:\Projects\pharmify\static\script\utils\const.js", "JavaScript", 0, 0, 0, 0, 0, 73, 0, 17, 8, 98
"d:\Projects\pharmify\static\script\utils\inputs.js", "JavaScript", 0, 0, 0, 0, 0, 381, 0, 70, 83, 534
"d:\Projects\pharmify\static\script\utils\utils.js", "JavaScript", 0, 0, 0, 0, 0, 109, 0, 34, 32, 175
"d:\Projects\pharmify\static\style\animations.css", "CSS", 0, 0, 0, 69, 0, 0, 0, 4, 13, 86
"d:\Projects\pharmify\static\style\authentication.css", "CSS", 0, 0, 0, 31, 0, 0, 0, 0, 5, 36
"d:\Projects\pharmify\static\style\form.css", "CSS", 0, 0, 0, 577, 0, 0, 0, 19, 116, 712
"d:\Projects\pharmify\static\style\main.css", "CSS", 0, 0, 0, 695, 0, 0, 0, 41, 134, 870
"d:\Projects\pharmify\static\style\onboarding.css", "CSS", 0, 0, 0, 63, 0, 0, 0, 0, 9, 72
"d:\Projects\pharmify\static\style\reset.css", "CSS", 0, 0, 0, 233, 0, 0, 0, 22, 41, 296
"d:\Projects\pharmify\static\style\settings.css", "CSS", 0, 0, 0, 97, 0, 0, 0, 0, 21, 118
"d:\Projects\pharmify\static\style\stock\new.css", "CSS", 0, 0, 0, 281, 0, 0, 0, 6, 55, 342
"d:\Projects\pharmify\templates\components\navbar.html", "HTML", 0, 0, 107, 0, 0, 0, 0, 15, 7, 129
"d:\Projects\pharmify\templates\components\product_list.html", "HTML", 0, 0, 117, 0, 0, 0, 0, 0, 0, 117
"d:\Projects\pharmify\templates\index.html", "HTML", 0, 0, 15, 0, 0, 0, 0, 12, 12, 39
"d:\Projects\pharmify\user\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Projects\pharmify\user\admin.py", "Python", 22, 0, 0, 0, 0, 0, 0, 0, 4, 26
"d:\Projects\pharmify\user\apps.py", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 3, 7
"d:\Projects\pharmify\user\manager.py", "Python", 18, 0, 0, 0, 0, 0, 0, 0, 5, 23
"d:\Projects\pharmify\user\migrations\0001_initial.py", "Python", 43, 0, 0, 0, 0, 0, 0, 1, 7, 51
"d:\Projects\pharmify\user\migrations\0002_alter_owner_email.py", "Python", 12, 0, 0, 0, 0, 0, 0, 1, 6, 19
"d:\Projects\pharmify\user\migrations\0003_alter_owner_username.py", "Python", 12, 0, 0, 0, 0, 0, 0, 1, 6, 19
"d:\Projects\pharmify\user\migrations\0004_remove_owner_username.py", "Python", 11, 0, 0, 0, 0, 0, 0, 1, 6, 18
"d:\Projects\pharmify\user\migrations\0005_alter_owner_managers.py", "Python", 12, 0, 0, 0, 0, 0, 0, 1, 6, 19
"d:\Projects\pharmify\user\migrations\0006_alter_owner_avatar_alter_owner_license.py", "Python", 17, 0, 0, 0, 0, 0, 0, 1, 6, 24
